,message,message_type
0,Hi,patient_greet
1,Hello,patient_greet
2,Hey there,patient_greet
3,Good morning,patient_greet
4,Good afternoon,patient_greet
5,Good evening,patient_greet
6,Hi there,patient_greet
7,Howdy,patient_greet
8,Greetings,patient_greet
9,Yo,patient_greet
10,What's up?,patient_greet
11,Hey!,patient_greet
12,Morning,patient_greet
13,Afternoon,patient_greet
14,Evening,patient_greet
15,Sup?,patient_greet
16,Hola,patient_greet
17,Bonjour,patient_greet
18,Salutations,patient_greet
19,Wassup?,patient_greet
20,Aloha,patient_greet
21,How's it going?,patient_greet
22,Hiya,patient_greet
23,Namaste,patient_greet
24,Top of the morning to you,patient_greet
25,Good day,patient_greet
26,Konnichiwa,patient_greet
27,G'day mate,patient_greet
28,Shalom,patient_greet
29,"Hey, how are you?",patient_greet
30,Good to see you,patient_greet
31,Ciao,patient_greet
32,Guten Tag,patient_greet
33,"Hey, what's going on?",patient_greet
34,"Hello, how can I assist you?",patient_greet
35,Hallo,patient_greet
36,Hello there,patient_greet
37,What's cracking?,patient_greet
38,Good vibes!,patient_greet
39,How are you doing today?,patient_greet
40,'Sup?,patient_greet
41,What's the good word?,patient_greet
42,How's everything?,patient_greet
43,Long time no see,patient_greet
44,"Well, hello!",patient_greet
45,How's your day?,patient_greet
46,Good to meet you,patient_greet
47,"Hi, nice to meet you",patient_greet
48,What's happening?,patient_greet
49,What's the news?,patient_greet
50,How have you been?,patient_greet
51,"Hello, stranger!",patient_greet
52,"Hi, long time no talk!",patient_greet
53,"Hey, how's life treating you?",patient_greet
54,How's your day been so far?,patient_greet
55,"Hi, it's been a while!",patient_greet
56,"Hello, how's everything going?",patient_greet
57,"Hi, how's your week going?",patient_greet
58,Good to see you again!,patient_greet
59,"Hello, nice to meet you!",patient_greet
60,"Hi, how's your day going?",patient_greet
61,"Hey, what's new with you?",patient_greet
62,"Hello, what's been happening?",patient_greet
63,"Hi, how have you been lately?",patient_greet
64,"Hey, how are things with you?",patient_greet
